#AfterMeToo	#AprèsMoiAussi
#AndNow	#EtMaintenant
#MeToo	#MoiAussi
1 800 O-Canada	1 800 O-Canada
2030 Agenda for Sustainable Development	Programme de développement durable à l’horizon 2030
23rd Olympic Games	XXIIIes Jeux olympiques
3D	3D
40/60 ratio	40-60
41st general election	la 41e élection générale
50:50 ratio	50-50
6(1)(a) all the way	application universelle de l’alinéa 6(1)a)
7/50 rule	la règle du 7/50
A.D.	après Jésus-Christ
Abdallah II	Abdallah II
AbitibiBowater	AbitibiBowater
Aboriginal Veterans Day	Journée des vétérans autochtones
absolute liability	responsabilité absolue
Abu Dhabi	Abou Dhabi
administration of the House	Administration de la Chambre des communes
administration of the Senate	Administration du Sénat
administrative segregation	isolement préventif
advance consent	consentement préalable
advance request	demande anticipée
Advisory council on the implementation of national pharmacare	Conseil consultatif sur la mise en œuvre d’un régime national d’assurance-médicaments
aerospace industry	secteur de l'aérospatiale
Afghan Independent Human Rights Commission	Commission afghane indépendante des droits de l'homme
Afghanistan Independent Human Rights Commission	Commission afghane indépendante des droits de l'homme
age of consent	âge du consentement
AIDS	sida
AIDS patient	sidéen
Air India	Air India
airspace	espace aérien
Al Arabiya	Al Arabiya
Al Jazeera	Al Djazira
Alawi	alaouites
alcohol related birth defects	malformations congénitales causées par l'alcool
alcoholic beverages	boissons alcoolisées
al-Jihad	Al-Djihad
all my relations	pour toutes mes relations
allegations	allégations
allowances and benefits	allocations et prestations
all-party committee	comité omnipartite
all-party women’s caucus	caucus féminin de tous les partis
Al-Qaeda in the Islamic Maghreb	Al-Qaïda au Maghreb islamique
Alzheimer’s disease	maladie d’Alzheimer
Amish	amish
Amnesty International	Amnistie internationale
Anchor Loop project	projet de doublement d’ancrage
animal welfare	bien-être des animaux
Arakan State	État d’Arakan
arena	aréna
arms inspectors	inspecteurs en désarmement
Arrangement for the Transfer of Detainees Between the Canadian Forces and the Ministry of Defence of the Islamic Republic of Afghanistan	Entente sur le transfert des détenus conclue entre les Forces canadiennes et le ministère de la Défense de la République islamique d'Afghanistan
artifact	artéfact
Asian Infrastructure Investment Bank	Banque asiatique d’investissement dans les infrastructures
Atlantic Accord	Accord atlantique
Atlantic accords	accords atlantiques
Atlantic Gateway and Corridor Strategy	Stratégie sur la porte et le corridor de commerce de l'Atlantique
Atlantic Provinces Trial Lawyers Association	Association des avocats plaideurs des provinces de l’Atlantique
Audrey’s amendment	modification d’Audrey
avian influenza	grippe aviaire
aviation safety	sécurité aérienne
aviation security	sûreté aérienne
Ayatollah Khomeini	ayatollah Khomeyni
baby-boom	baby-boom
baby-boomers	baby-boomers
bargaining table	table de négociations
Basra	Bassora
Bay Street Budget	budget pour Bay Street
Beijing	Pékin
Belt and Road Initiative	le projet La Ceinture et la Route
beyond the border agreement	entente Par-delà la frontière
Bill & Melinda Gates Foundation	Fondation Bill et Melinda Gates
Bill 62	projet de loi no 62
bingo cards	cartes de bingo
birth defects	malformations congénitales
bitcoin	bitcoin
Black Friday	Vendredi fou
BlackBerry	BlackBerry
Blue Cross	Croix bleue
blues	les « bleus »
blunt wrap	feuille d'enveloppe
bomber command	Bomber Command
book of dirty tricks	guide de la petite obstruction
border infrastructure fund	Fonds pour l'infrastructure frontalière
Boys and Girls Clubs of Canada	Clubs garçons et filles du Canada
bromance	bromance
budget	budget
bureaucrat	fonctionnaire
burka	burka
Burrard Inlet	baie Burrard
Buy American Act	loi Achetez américain
Buy American Policy	politique d'achat aux États-Unis
byelection	élection complémentaire
C Series	C Series
Camp Mirage	Camp Mirage
Canada Child Benefit	Allocation canadienne pour enfants
Canada first defence strategy	stratégie de défense Le Canada d'abord
Canada Gazette	la Gazette du Canada
Canada job grant	Subvention canadienne pour l'emploi
Canada Workers Benefit	Allocation canadienne pour les travailleurs
Canada’s Food Guide	Guide alimentaire canadien
Canada's growing-old government	gouvernement vieillissant du Canada
Canada's northern strategy	Stratégie pour le Nord du Canada
Canadian Coast Guard	Garde côtière canadienne
Canadian free trade agreement	Accord de libre-échange canadien
Canadian Heritage	Patrimoine canadien
Canadian Jewish Heritage Month	Mois du patrimoine juif canadien
Canadian Press	La Presse canadienne
Canadian Rangers	Rangers canadiens
cannabis expiation notice	contravention pour possession de cannabis
cap-and-trade	plafonner et échanger
capital gains refund	remboursement au titre des gains en capital
carbon pricing	tarification du carbone
carbon sequestration	séquestration du carbone
carbon tax	taxe sur le carbone
carding	contrôle d’identité
Cartagena Protocol	Protocole de Cartagena
Cartagena Protocol on Biosafety to the Convention on Biological Diversity	Protocole de Cartagena sur la prévention des risques biotechnologiques relatif à la Convention sur la diversité biologique (EN text http://bch.cbd.int/protocol/publications/cartagena-protocol-en.pdf; FR texte http://www.cbd.int/doc/legal/cartagena-protocol-fr.pdf)
case manager	gestionnaire de cas
Centers for Disease Control and Prevention	Centers for Disease Control and Prevention
Charter Statement	énoncé concernant la Charte
Chief of the Defence Staff	chef d’état-major de la Défense
child obesity	obésité chez les enfants
child pornography	pornographie juvénile
child poverty	pauvreté des enfants
child soldier	enfant soldat
child tax benefit	Prestation fiscale pour enfants
chinook salmon	saumon quinnat
CINARS	CINARS
citation from Beauchesne's	commentaire du Beauchesne
citizens' initiative	initiative populaire
civilian criminal courts	tribunaux civils qui ont juridiction en matière pénale
Clerk of the Senate and Clerk of the Parliaments	greffier du Sénat et greffier des Parlements
Climate Action Incentive	Incitatif à agir pour le climat
climate change	changement climatique
cluster munitions	armes à sous-munitions
CN Tower	tour CN
coalition of greed	coalition des rapaces
coalition of the willing	coalition des partenaires pour une même cause
coast guard station	poste de la Garde côtière
Coastal GasLink	le projet Coastal GasLink
Code of Service Discipline	code de discipline militaire
committee of the whole	comité plénier
community development trust	Fiducie pour le développement des collectivités
Compendium of Procedure	Compendium de procédure
compliance order	ordre de conformité
comply or explain	se conformer ou s’expliquer
Conservative Party	Parti conservateur
conservatives	conservateurs
Constitution	Constitution
corporate funnelling	stratagème des prête-noms utilisés par des entreprises
Correctional Service Canada	le Service correctionnel du Canada
cowboy-thinker	mentalité de cowboy
Criminal Lawyers’ Association	Criminal Lawyers’ Association
critic	porte-parole
crown corporation	société d'État
cruise missile	missile de croisière
culture of deceit	culture de tromperie
culture of entitlement	culture du « tout m'est dû »
custodial management	gestion axée sur la conservation
Daesh	Daech
dark fiber	fibre noire
data broker	courtier en information
data brokerage	courtage en information
day parole	semi-liberté
debate on Address in Reply	débat sur l'Adresse
declaratory provisions	dispositions interprétatives
Delivering Community Power	Vers des collectivités durables
democratic reform	réforme démocratique
Department for Women and Gender Equality	ministère des Femmes et de l’Égalité des genres
Department of Commerce	département du Commerce
Department of State	département d'État
Department of the Secretary of State	Secrétariat d'État
deputy shadow minister	ministre adjoint du cabinet fantôme
Development and Peace	Développement et paix
diabetes 360°	stratégie Diabète 360 degrés
diesel	diésel
digital lock	verrou numérique
dilbit	dilbit
disposition motion	motion de disposition
disruptive technology	technologie de rupture
divisor rule	règle du dénominateur
DNA sample	substance corporelle pour analyse génétique
double dip recession	récession à double creux
double dipping	double déduction
Dr. Dolittle	M. Fait-Peu-de-Choses
Dr. Doolittle	M. Fait-Peu-de-Choses
drug safety	innocuité des médicaments
dry cleaning	nettoyage à sec
dual marketing	commercialisation mixte
dudeplomacy	diplocopinage
early learning	éducation préscolaire
earned parole	libération conditionnelle méritée
East Timor	Timor-Leste
economic statement	énoncé économique
economic update	mise à jour économique
effective and efficient	efficace et efficient
effective representation	représentation effective
Elizabeth II	Elizabeth II
Ellalan Force	Force Ellalan
End It Movement Day	journée du mouvement End It
energy efficient	éconergétique
entrepreneurship	esprit d’entreprise
e-petition	pétition électronique
escalator tax	taxe avec indexation
Esperanto	espéranto
essential characteristics or fundamental features	caractéristiques fondamentales ou essentielles
estates general	états généraux
ethical screening	présélection éthique
exchange of DNA information	échange d'information sur les empreintes génétiques
exit strategy	programme de sortie
Experimental Lakes Area	Région des lacs expérimentaux
faint hope clause	disposition de la dernière chance
fair trade	commerce équitable
fake lake	faux lac
fake news	fausses nouvelles
Family Day	jour de la Famille
Famous Five	Célèbres cinq
far north	le Grand Nord
FCKDUP beverage	boisson FCKDUP
Federal Sustainable Development Strategy	Stratégie fédérale de développement durable
feminine hygiene products	produits d'hygiène féminine
fetal alcohol syndrome	syndrome d'alcoolisation foetale
first nations	Premières Nations
first past the post system	système majoritaire uninominal à un tour
fiscal cliff	précipice budgétaire
Fiscal Monitor	La revue financière
Fish Harvester Benefit and Grant Program	Programme de prestation et de subvention aux pêcheurs
Fissile Material Cut-Off Treaty	traité sur l’interdiction de la production de matières fissiles
Five Eyes	Groupe des cinq
fixed election date	élections à date fixe
Flemish Cap	Bonnet flamand
Food Day Canada	Journée des terroirs
food safety system	système d'assurance de la salubrité des aliments
format shift	changement de support
four-pillar approach	approche fondée sur quatre piliers
Fraser Institute	Institut Fraser
fraud squad	escouade des fraudeurs
Freedom Flottilla	flottille de la liberté
full minister	ministre de premier rang
full ministerial position	poste de ministre de premier rang
full ministry	ministère de premier rang
gasoline additive	additif à l'essence
gender-affirming therapy	thérapie d’affirmation du genre
gender-based violence	violence contre les femmes
genderqueer	altersexuel
generation Y	génération du millénaire
Geneva convention	Convention de Genève
Georgia Strait	détroit de Georgia
gig economy	économie de petits boulots
Gladue decision	l’arrêt Gladue
Global Transportation Hub	Plaque tournante du transport mondial
Go Canada, go!	Go Canada, go!
gold digger clause	disposition relative aux mariages intéressés
gopher	spermophile
government bill	projet de loi d’initiative ministérielle
government motion	motion d’initiative ministérielle
government orders	ordres émanant du gouvernement
government party	parti ministériel
Grand Banks	Grands Bancs
Grandmothers to Grandmothers	Grandmothers to Grandmothers
Great Bear rainforest	forêt pluviale de Great Bear
Great Depression	la Grande Crise
Green Party	Parti vert
Guatemala	Guatemala
guillotine motion	motion de guillotine
gun violence	violence commise au moyen d’une arme à feu
gypsies	Tsiganes
Haida Gwaii	archipel Haida Gwaii
Haifa	Haïfa
Hall of Honour	le Hall d’honneur
Hamilton harbour	havre Hamilton
Hansard	hansard
harpocrisy	harpocrisie
hashtag	mot-clic
hate crimes	crimes haineux
Head Harbour Passage	passage de Head Harbour
hearings	audiences
heinous crimes	crimes odieux
High Arctic	Extrême-Arctique
High Commissioner	haut-commissaire
Highway of Heroes	autoroute des Héros
highway of tears	route des pleurs
hijab	hidjab
Hill 145	cote 145
Hill 70	cote 70
HIV/AIDS	VIH-sida
Holocaust	l’Holocauste
Holodomor	l’Holodomor
homelessness	itinérance
House administration	Administration de la Chambre des communes
House of Representatives	Chambre des représentants
housekeeping amendment	amendement d’ordre administratif
housing advocate	défenseur du droit au logement
Huawei	Huawei
human smuggler	passeur
human smuggling	passage de clandestins
human smuggling network	réseau de passeurs
human trafficking	traite des personnes
I am a Canadian, a free Canadian, free to worship God in my own way, free to stand for what I think right, free to oppose what I believe wrong, free to choose who govern my country. This heritage of freedom I pledge to uphold for myself and all mankind.	Je suis un Canadien, un Canadien libre, libre de m’exprimer sans crainte, libre de servir Dieu comme je l’entends, libre de m’opposer à ce qui me semble injuste, libre de choisir les dirigeants de mon pays. Ce patrimoine de liberté, je m’engage à le sauvegarder pour moi-même et pour toute l’humanité.
identity fraud	fraude à l’identité
Idle No More	Idle No More
ILO Convention 98	convention no 98 de l’Organisation internationale du travail
immobilizer	système ou dispositif antidémarrage
incorporation by reference	incorporation par renvoi
independent non-partisan senators	sénateurs indépendants et non partisans
Information Media Panel	groupe d’experts chargé des médias
inner city	quartiers défavorisés
intellectual conceit	vue de l’esprit
International Day of Pink	journée rose internationale
International Day of the Girl	Journée internationale de la fille
International Women’s Day	Journée internationale des femmes
Inuvialuit Regional Corporation	Société régionale inuvialuite
investor state agreement	accord investisseur-État
iPolitics	iPolitics
Iran Accountability Week	Semaine de la responsabilisation de l’Iran
Iraq	Irak
Islamic Revolutionary Guard Corps' Qods Force	Brigade al-Qods des Gardiens de la révolution islamique
James Bay and Northern Quebec Agreement	Convention de la Baie James et du Nord québécois
Janjaweed	janjawid
Jersey Day	Journée du chandail sportif
jihad	djihad
joint strike fighter program	programme d’avions de combat interarmées
Journey of Nishiyuu	marche Nishiyuu
judicial activism	activisme des juges
Juno Beach Centre	Centre Juno Beach
jury pool	liste des jurés
juvenile diabetes	diabète juvénile
Kabul	Kaboul
Kandahar	Kandahar
Karzai	Karzaï
Kelowna accord	Accord de Kelowna
Kobani	Kobané
krach	débâcle financière
Kuwait	Koweït
Labour Day	fête du Travail
Latin American Heritage Month	Mois du patrimoine latino-américain
law clerk	légiste
Liberal Party	Parti libéral
liberation treatment	traitement de libération
living tree doctrine	doctrine de l’arbre vivant
lobbying	lobbying
locked in	dans le coup
lost citizens	personnes qui ont perdu la citoyenneté canadienne
Lower Mainland	vallée du bas Fraser
Lunar New Year	Nouvel An lunaire
mad cow disease	maladie de la vache folle
Magnitsky act	loi de Magnitski
Mahatma	mahatma
Maidan	Maïdan
Marine Transportation Security Clearance Program	Programme d’habilitation de sécurité en matière de transport maritime
Maritime Rescue Sub-Centre	Centre secondaire de sauvetage maritime
marketing choice	choix du mode de commercialisation
Marrakesh	Marrakech
mashup	mashup
mature minors	mineurs matures
mauzy	mauzy
Mazar-e-Sharif	Mazâr-e Charîf
McJob	macjob
medical wait times	délais d’attente
Meech Lake accord and Charlottetown accord	accord du lac Meech et accord de Charlottetown
meegwetch	meegwetch
Memorial Chamber	chapelle du Souvenir
Mennonites	mennonites
methamphetamine	méthamphétamine
Metis Nation of Ontario	nation métisse de l’Ontario
Mid-Autumn Festival	fête de la mi-automne
Middle East	Moyen-Orient
militarization of space	militarisation de l’espace
military families	familles de militaires
millennials	génération du millénaire
millennium development goals	objectifs du millénaire pour le développement
mini-budget	minibudget
Missing and Murdered Indigenous Women and Girls	femmes et filles autochtones assassinées ou portées disparues
mixed member proportional	système de représentation proportionnelle mixte
Mogadishu	Mogadiscio
monster bill	projet de loi monstre
Moon Festival	fête de la Lune
Mother’s Day	fête des Mères
Mr. Delay	M. Traîne-les-Pieds
Mr. Denial	M. L’Autruche
Mr. Dithers	M. Indécis
MS St. Louis	Le Saint Louis
municipal government	administration municipale
Muskrat Falls	chutes Muskrat
Muslim brotherhood	Frères musulmans
mutual fund	fonds commun de placement
mutual fund trust	fiducie de fonds communs de placement
NAFTA	ALENA
NAFTA-gate	ALENAgate
Nanjing	Nankin
National Advisory Council on Poverty	Conseil consultatif national sur la pauvreté
national household survey	Enquête nationale auprès des ménages
National Housing Strategy	Stratégie nationale sur le logement
National Inquiry into Missing and Murdered Indigenous Women and Girls	Enquête nationale sur les femmes et les filles autochtones disparues et assassinées
National Research Council Canada	Conseil national de recherche Canada
National Roundtable on the Environment and the Economy	Table ronde nationale sur l’environnement et l’économie
National War Memorial	Monument commémoratif de guerre du Canada
net-zero economy	économie carboneutre
New Deal	New Deal
New Deal for Cities and Communities	Nouveau Pacte pour les villes et les collectivités
New Democratic Party	Nouveau Parti démocratique
New Democrats	néo-démocrates
Nitassinan	Nitassinan
non-state torture	torture commise par des particuliers
NORAD	NORAD
Northern Command	Commandement du Nord
nose and tail of the Grand Bank	le nez et la queue du Grand Banc
notwithstanding clause	disposition de dérogation
Novichok	Novitchok
nuclear safety	sûreté nucléaire
Nunavut Tunngavik Incorporated	la Nunavut Tunngavik Incorporated
Occupy movement	mouvement des indignés
Ocean Plastics Charter	Charte sur les plastiques dans les océans
Oceans Protection Plan	Plan de protection des océans
October Crisis	la crise d’Octobre
Office of Religious Freedom	Bureau de la liberté de religion
Office of the Parliamentary Budget Officer	Bureau du directeur parlementaire du budget
offshore tax haven	paradis fiscal
oil sands	sables bitumineux
older workers	travailleurs âgés
Om Qasr	Oum-Qasr
ombudsman	ombudsman
ombudsmen	ombudsmans
omnishambles	omnifouillis
on reserve	dans une réserve
Operation Desert Storm	opération Tempête du désert
Operation Enduring Freedom	opération Liberté immuable
Operation Infinite Justice	opération Justice infinie
Operation Protective Wall	opération Rempart
opportunity cost	coût d’option
opposition parties	partis de l’opposition
Orange Revolution	révolution orange
Ottawa convention banning anti-personnel landmines	Convention d’Ottawa sur l’interdiction des mines antipersonnel
ovum	ovule
Parkinson’s Awareness Month	Mois de la sensibilisation à la maladie de Parkinson
Parliament Hill	Colline du Parlement
Parliamentary Budget Officer	le directeur parlementaire du budget
parliamentary precinct	Cité parlementaire
Parti Québécois	Parti québécois
Peace Tower	tour de la Paix
pelletization	granulation
People's Liberation Army	Armée populaire de libération
performance-enhancing drugs	substance interdite
Persons day	Journée de l’affaire « personne »
Peshmerga	peshmerga
Petro-Canada	Petro-Canada
physician-assisted suicide	aide médicale à mourir
Pink Shirt Day	journée du chandail rose
pipeline twinning	doublage d’un oléoduc
political allowances	allocations aux partis politiques
pornographic material	documents pornographiques
post-panamax	postpanamax
post-truth	postvérité
pre-emptive war	guerre préemptive
pre-pre-writ period	période qui précède la période préélectorale
prescription drug	médicament sur ordonnance
Presiding Officer	président d’élection
Prime Minister’s Office	Cabinet du premier ministre
prime minister’s question period	période des questions au premier ministre
private member’s bill	projet de loi d’initiative parlementaire
private member’s motion	motion d’initiative parlementaire
private members’ business	affaires émanant des députés
Privy Council	Conseil privé
pro forma bill	projet de loi fictif
programming motion	motion de programmation
Progressive-Conservative Party	Parti progressiste-conservateur
Project Naval Distinction	le projet Dinstinction navale
Punjab	Pendjab
Purple Day	Journée lavande
Queen’s Privy Council for Canada	Conseil privé de la Reine pour le Canada
racialization	racialisation
Rakhine State	État de Rakhine
ratchet clause	clause de cliquet
RBC	RBC
reclassification of offences	reclassification des infractions
Red Cross	Croix-Rouge
Reform Party	Parti réformiste
registered disability savings plan	régime enregistré d’épargne-invalidité
regulatory authority	autorité réglementaire
rehabilitation	réadaptation
reintegration	réinsertion sociale
remediation agreement regime	régime d’accords de réparation
residential school	pensionnat autochtone
response posture	délai de disponibilité opérationnelle
response time	délai d’intervention
responsible resource development	développement responsable des ressources
revenge porn	porno-vengeance
reverse disclosure	obligation de divulgation de la preuve imposée à la défense
review panel	commission
revolving door justice system	système de justice prorécidive
Rights and Democracy	Droits et démocratie
Ring of Fire	Cercle de feu
rogue state	état voyou
Rosh Hashanah	Rosh hashanah
rotating strikes	grèves tournantes
Royal Canadian Air Force	Aviation royale canadienne
Royal Canadian Legion	Légion royale canadienne
Royal Canadian Marine Search and Rescue	groupe royal canadien de recherche et de sauvetage maritimes
rules of engagement	règles d’engagement
safe and sensible firearms policy	politique sensée sur la sécurité entourant les armes à feu
safe and sensible policy	politique sensée sur la sécurité
safe injection site	centre d’injection supervisée
safe restart agreement	Accord sur la relance sécuritaire
Saigon	Saigon
Salisbury Convention	convention de Salisbury
SARS epidemic	épidémie de SRAS
school board	conseil scolaire
Scrooge McDuck	l’oncle Picsou
seal hunt	chasse au phoque
Secure Flight Program	Secure Flight Program
self-government agreement	entente sur l'autonomie gouvernementale
Senate administration	Administration du Sénat
Senate floor rule	seuil sénatorial
sencoten	sencoten
separate but equal	distincts mais égaux
Sephardic Jews	les Juifs sépharades
shadow minister	ministre du cabinet fantôme
shale gas	gaz de schiste
shared parenting	partage des responsabilités parentales
sharia law	la charia
sheik Shafiq Hudda	le cheik Shafiq Hudda
shura	choura
Sisters in Spirit	Soeurs par l’esprit
small and medium-sized businesses	petites et moyennes entreprises
Sochi	Sotchi
social licence	acceptabilité sociale
sockeye salmon	saumon rouge
South Soudan	Soudan du Sud
soy	soya
St. Lawrence Seaway	Voie maritime du Saint-Laurent
standing vote	vote par appel nominal
state-owned enterprises	entreprises d'État
statute law	droit écrit
steering committee	comité directeur
Streit Group	Streit Group
Strippergate	strippergate
structured intervention units	unités d’intervention structurée
Summer of failures	été d’échecs
sunset clause	disposition de caducité
supervised consumption site	centre de consommation supervisée
supervised injection site	centre d'injection supervisée
Tahrir Square	place Tahrir
Taiwan	Taïwan
take note debate	débat exploratoire
Tamil Tigers	Tigres tamouls
taser	pistolet Taser
tax credit	crédit d’impôt
taxation without representation	taxation sans représentation
Team Canada	Équipe Canada
technological protection measure	mesure technique de protection
ten percenter	dix-pour-cent
terminal feedlot	parc de finition
Thanksgiving	Action de grâces
The 16 Days of Activism against Gender-Based Violence	Les 16 jours d’activisme contre la violence fondée sur le sexe
third party records application	demande de communication de dossiers de tiers
time allocation	attribution de temps
time shift	écoute en différé
Tomb of the Unknown Soldier	Tombe du soldat inconnu
TPP11	PTP11
transphobic	transphobe
Travellers' Protection Initiative	Coalition pour la protection des voyageurs
Treaty on the Prohibition of Nuclear Weapons	Traité sur l’interdiction des armes nucléaires
Trent-Severn Waterway	voie navigable Trent-Severn
tripartite agreement	entente tripartite
Triple E Senate	Sénat triple E
Truth and Reconciliation Commission of Canada	Commission de vérité et réconciliation du Canada
tweet	gazouillis
two-tiered ministry	cabinet à deux niveaux
U.S. trade representative	représentant des États-Unis pour le commerce extérieur
Umbrella Final Agreement	Accord-cadre définitif
UN specialized agency	institution spécialisée de l'ONU
United Church	Église Unie
United Nations Declaration on the Rights of Indigenous Peoples	Déclaration des Nations unies sur les droits des peuples autochtones
universal child care benefit	Prestation universelle pour la garde d'enfants
UPOV 29	notification no 29 de l'UPOV
UPOV 78	convention de l'UPOV de 1978
UPOV 91	convention de l'UPOV de 1991
user fees	frais d'utilisation
value-added tax	taxe sur la valeur ajoutée
Vancouver Aquarium	aquarium de Vancouver
vascular doctor	angiologue
vascular scan	scintigraphie vasculaire
vehicle assembly sector	industrie de l'assemblage
Veterans Ombudsman	ombudsman des vétérans
Viking millennium celebrations	célébrations du millénaire de l'arrivée des Vikings
visitability	visitabilité
Voisey Bay	baie Voisey
Wafd	Wafd
Wales	pays de Galles
war resister	résistant à la guerre
ways and means motion	motion des voies et moyens
weaponization	arsenalisation
White House	Maison-Blanche
Whitecap Dakota First Nation	nation dakota de Whitecap
white-label ATM	guichet automatique privé
Wi-Fi	WiFi
willing partners	partenaires intéressés
wire brush	brosse d'acier
without amendment	sans proposition d’amendement
women's equality	droit des femmes à l'égalité
World Autism Awareness Day	Journée mondiale de sensibilisation à l’autisme
World Elder Abuse Awareness Day	Journée mondiale de sensibilisation à la maltraitance des personnes âgées
World Tamil Movement	Mouvement tamoul mondial
